Order ID,Waiter's Name
1,Franz Beckenbauer
2,Hristo Stoichkov
3,George Weah
4,Marco van
5,Javier Zanetti
6,Jürgen Klinsmann
7,Kaká 
8,Alan Shearer
9,Paolo Maldini
10,Lionel Messi
11,Roberto Baggio
12,Hristo Stoichkov
13,Pelé 
14,Roberto Baggio
15,Roberto Carlos
16,Gianluigi Buffon
17,Lionel Messi
18,Lionel Messi
19,Gianluigi Buffon
20,Diego Maradona
21,Dennis Bergkamp
22,George Weah
23,Jürgen Klinsmann
24,Alan Shearer
25,Franz Beckenbauer
26,Gary Lineker
27,Javier Zanetti
28,Luís Figo
29,Edgar Davids
30,Gary Lineker
31,Zinedine Zidane
32,Kaká 
33,Gabriel Batistuta
34,Paolo Maldini
35,Ronaldinho Gaúcho
36,Jürgen Klinsmann
37,Dennis Bergkamp
38,Lionel Messi
39,Gary Lineker
40,Cristiano Ronaldo
41,Diego Maradona
42,Hristo Stoichkov
43,George Weah
44,Peter Schmeichel
45,Gianluigi Buffon
46,Dennis Bergkamp
47,Gabriel Batistuta
48,Franz Beckenbauer
49,George Weah
50,Diego Maradona
51,Luís Figo
52,Paolo Maldini
53,Peter Schmeichel
54,Luís Figo
55,Alan Shearer
56,Ronaldo Nazario
57,George Weah
58,Gary Lineker
59,Ronaldo Nazario
60,Franz Beckenbauer
61,Ronaldo Nazario
62,Roberto Baggio
63,Kaká 
64,Alan Shearer
65,Gary Lineker
66,Roberto Carlos
67,Kaká 
68,Lionel Messi
69,Luís Figo
70,Paolo Maldini
71,Peter Schmeichel
72,Zinedine Zidane
73,Diego Maradona
74,Edgar Davids
75,Dennis Bergkamp
76,Roberto Carlos
77,Ronaldinho Gaúcho
78,Dennis Bergkamp
79,Ronaldinho Gaúcho
80,Karl-Heinz Rummenigge
81,Diego Maradona
82,Edgar Davids
83,Ronaldo Nazario
84,Karl-Heinz Rummenigge
85,Bobby Charlton
86,Diego Maradona
87,Diego Maradona
88,Edgar Davids
89,Peter Schmeichel
90,Diego Maradona
91,Bobby Charlton
92,Luís Figo
93,Edgar Davids
94,Bobby Charlton
95,Michel Platini
96,Roberto Carlos
97,Dennis Bergkamp
98,Cristiano Ronaldo
99,Gianluigi Buffon
100,Pelé 
101,Cristiano Ronaldo
102,Edgar Davids
103,Pelé 
104,Franz Beckenbauer
105,Roberto Carlos
106,Edgar Davids
107,Diego Maradona
108,Michel Platini
109,Ronaldo Nazario
110,Alan Shearer
111,Alan Shearer
112,Dennis Bergkamp
113,Roberto Carlos
114,Luís Figo
115,Bobby Charlton
116,Karl-Heinz Rummenigge
117,Gary Lineker
118,Zinedine Zidane
119,Ronaldinho Gaúcho
120,Kaká 
121,Dennis Bergkamp
122,Jürgen Klinsmann
123,Gary Lineker
124,Roberto Carlos
125,Luís Figo
126,Gabriel Batistuta
127,Bobby Charlton
128,Hristo Stoichkov
129,Paolo Maldini
130,Gary Lineker
131,Pelé 
132,Pelé 
133,Roberto Baggio
134,Jürgen Klinsmann
135,Jürgen Klinsmann
136,Ronaldinho Gaúcho
137,Diego Maradona
138,Michel Platini
139,George Weah
140,Javier Zanetti
141,Dennis Bergkamp
142,Gabriel Batistuta
143,Roberto Baggio
144,George Weah
145,Paolo Maldini
146,Marco van
147,Luís Figo
148,Gary Lineker
149,Roberto Carlos
150,George Weah
151,Luís Figo
152,Alan Shearer
153,Jürgen Klinsmann
154,Jürgen Klinsmann
155,Bobby Charlton
156,Roberto Carlos
157,Peter Schmeichel
158,Alan Shearer
159,George Weah
160,Franz Beckenbauer
161,Diego Maradona
162,Javier Zanetti
163,Alan Shearer
164,Roberto Carlos
165,Cristiano Ronaldo
166,Luís Figo
167,Gabriel Batistuta
168,Edgar Davids
169,Jürgen Klinsmann
170,Alan Shearer
171,Karl-Heinz Rummenigge
172,Cristiano Ronaldo
173,Karl-Heinz Rummenigge
174,Dennis Bergkamp
175,Diego Maradona
176,Diego Maradona
177,Kaká 
178,Pelé 
179,Edgar Davids
180,Gary Lineker
181,Franz Beckenbauer
182,Luís Figo
183,George Weah
184,Lionel Messi
185,Roberto Baggio
186,Alan Shearer
187,Paolo Maldini
188,Luís Figo
189,Bobby Charlton
190,Roberto Baggio
191,Franz Beckenbauer
192,Jürgen Klinsmann
193,Ronaldo Nazario
194,Michel Platini
195,Kaká 
196,Roberto Baggio
197,Diego Maradona
198,Paolo Maldini
199,Roberto Carlos
200,Karl-Heinz Rummenigge
201,Gabriel Batistuta
202,Cristiano Ronaldo
203,Gabriel Batistuta
204,Gianluigi Buffon
205,Dennis Bergkamp
206,Alan Shearer
207,Alan Shearer
208,Luís Figo
209,Michel Platini
210,Gianluigi Buffon
211,Peter Schmeichel
212,Karl-Heinz Rummenigge
